augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12099993
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1159029
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.085623264
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1250714
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11349994
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11509591
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.116363585
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08333331
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.14555258
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.047941685
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04411757
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15936512
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10091746
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.06253004
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.13984764
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16675353
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.2095238
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1421833
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.25305527
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.124500275
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12547362
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.15500009
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12100005
none,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.1616587
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10213649
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.10800004
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.084905624
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.009956181
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.04797256
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.003000021
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0141785145
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07363629
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0061728954
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.22506732
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0083376765
Macenko_patchwise,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04411769
